Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
51,"VAFB,SLC-4E",Iridium NEXT-5(10 satellites)[152],"9,600 kg",PolarLEO,Iridium Communications,Success,F9 B4B1041.2268,No attempt,30 March 2018,14:14
52,"CCAFS,SLC-40",SpaceX CRS-14[141](Dragon C110.2 ♺),"2,647 kg",LEO(ISS),NASA(CRS),Success,F9 B4B1039.2292,No attempt,2 April 2018,20:30
53,"CCAFS,SLC-40",Transiting Exoplanet Survey Satellite(TESS)[304],362 kg,HEOforP/2 orbit,NASA(LSP),Success,F9 B4[,Success,18 April 2018,22:51
54,"KSC,LC-39A",Bangabandhu-1[312][313],"3,600 kg",GTO,Thales-Alenia/BTRC,Success,F9 B5311B1046.1268,Success,11 May 2018,20:14
55,"VAFB,SLC-4E",Iridium NEXT-6(5 satellites)[152][155]GRACE-FO× 2[323][324],"6,460 kg",PolarLEO,Iridium CommunicationsGFZ•NASA,Success,F9 B4B1043.2322,No attempt,22 May 2018,19:47
56,"CCAFS,SLC-40",SES-12[331],"5,384 kg",GTO,SES,Success,F9 B4B1040.2268,No attempt,4 June 2018,04:45
57,"CCAFS,SLC-40",SpaceX CRS-15(Dragon C111.2 ♺),"2,697 kg",LEO(ISS),NASA(CRS),Success,F9 B4B1045.2336,No attempt,29 June 2018,09:42
58,"CCAFS,SLC-40",Telstar 19V[341],"7,075 kg",GTO[343],Telesat,Success,F9 B5,Success,22 July 2018,05:50
59,"VAFB,SLC-4E",Iridium NEXT-7(10 satellites)[152],"9,600 kg",PolarLEO,Iridium Communications,Success,F9 B5349B1048[,Success,25 July 2018,11:39
60,"CCAFS,SLC-40",Merah Putih(formerly Telkom 4)[355][356],"5,800 kg",GTO,Telkom Indonesia,Success,F9 B5B1046.2354,Success,7 August 2018,05:18
61,"CCAFS,SLC-40",Telstar 18V/Apstar-5C[341],"7,060 kg",GTO[361],Telesat,Success,F9 B5[,Success,10 September 2018,04:45
62,"VAFB,SLC-4E",SAOCOM 1A[365][366],"3,000 kg",SSO,CONAE,Success,F9 B5B1048.2364,Success,8 October 2018,02:22
63,"KSC,LC-39A",Es'hail 2[368],"5,300 kg",GTO,Es'hailSat,Success,F9 B5B1047.2268,Success,15 November 2018,20:46
64,"VAFB,SLC-4E",SSO-A(SmallSat Express),"~4,000 kg",SSO,Spaceflight Industries,Success,F9 B5B1046.3268,Success,3 December 2018,18:34:05
65,"CCAFS,SLC-40",SpaceX CRS-16(Dragon C112.2♺ ),"2,500 kg",LEO(ISS),NASA(CRS),Success,F9 B5[,Failure,5 December 2018,18:16
66,"CCAFS,SLC-40",GPS III-01(Vespucci),"4,400 kg",MEO,USAF,Success,F9 B5[,No attempt,23 December 2018,13:51
67,"VAFB,SLC-4E",Iridium NEXT-8(10 satellites)[152],"9,600 kg",PolarLEO,Iridium Communications,Success,F9 B5B1049.2397,Success,11 January 2019,15:31
68,"CCAFS,SLC-40",Nusantara Satu(PSN-6)[400]BeresheetMoon lander[401]S5[402],"4,850 kg",GTO,PSNSpaceIL/IAIAir Force Research,Success,F9 B5B1048.3399,Success,22 February 2019,01:45
69,"KSC,LC-39A",Crew Dragon Demo-1[414](Dragon C201),"12,055 kg",LEO(ISS),NASA(CCD),Success,F9 B5[]413,Success,2 March 2019,07:49
70,"CCAFS,SLC-40",SpaceX CRS-17[141](Dragon C113.2 ♺),"2,495 kg",LEO(ISS),NASA(CRS),Success,F9 B5[,Success,4 May 2019,06:48
71,"CCAFS,SLC-40",Starlinkv0.9(60 satellites),"13,620 kg",LEO,SpaceX,Success,F9 B5B1049.3434,Success,24 May 2019,02:30
72,"VAFB,SLC-4E",RADARSAT Constellation(3 satellites),"4,200 kg",SSO,Canadian Space Agency(CSA),Success,F9 B5B1051.2420,Success,12 June 2019,14:17
73,CCAFSSLC-40,SpaceX CRS-18[141](Dragon C108.3 ♺),"2,268 kg",LEO(ISS),NASA(CRS),Success,F9 B5B1056.2465,Success,25 July 2019,22:01
74,"CCAFS,SLC-40",AMOS-17[473],"6,500 kg",GTO,Spacecom,Success,F9 B5B1047.3472,No attempt,6 August 2019,23:23
75,"CCAFS,SLC-40",Starlink1 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,F9 B5,Success,11 November 2019,14:56
76,"CCAFS,SLC-40",SpaceX CRS-19[483](Dragon C106.3 ♺),"2,617 kg",LEO(ISS),NASA(CRS),Success,F9 B5[,Success,5 December 2019,17:29
77,"CCAFS,SLC-40",JCSat-18/Kacific 1[487],"6,956 kg",GTO,Sky Perfect JSATKacific 1,Success,F9 B5B1056.3482,Success,17 December 2019,00:10
78,"CCAFS,SLC-40",Starlink2 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,F9 B5,Success,7 January 2020,02:19:21
79,"KSC,LC-39A",Crew Dragon in-flight abort test[495](Dragon C205.1),"12,050 kg",Sub-orbital[496],NASA(CTS)[497],Success,F9 B5,"No attempt
",19 January 2020,15:30
80,"CCAFS,SLC-40",Starlink3 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,F9 B5,Success,29 January 2020,14:07
81,"CCAFS,SLC-40",Starlink4 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,F9 B5,Failure,17 February 2020,15:05
82,"CCAFS,SLC-40",SpaceX CRS-20(Dragon C112.3 ♺),"1,977 kg",LEO(ISS),NASA(CRS),Success,F9 B5,Success,7 March 2020,04:50
83,"KSC,LC-39A",Starlink5 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,F9 B5,Failure,18 March 2020,12:16
84,"KSC,LC-39A",Starlink6 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,F9 B5,Success,22 April 2020,19:30
85,"KSC,LC-39A",Crew Dragon Demo-2[414](Crew Dragon C206.1Endeavour),"12,530 kg",LEO(ISS),NASA(CCDev),Success,F9 B5[,Success,30 May 2020,19:22
86,"CCAFS,SLC-40",Starlink7 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,F9 B5,Success,4 June 2020,01:25
87,"CCAFS,SLC-40","Starlink8 v1.0 (58 satellites),[524][525]SkySats-16, -17, -18","15,410 kg",LEO,SpaceXPlanet Labs,Success,F9 B5,Success,13 June 2020,09:21
88,"CCAFS,SLC-40",GPS III-03(Matthew Henson),"4,311 kg",MEO,U.S. Space Force[530],Success,F9 B5,Success,30 June 2020,20:10:46
89,"CCAFS,SLC-40",ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,Success,F9 B5B1058.2544,Success,20 July 2020,21:30
90,"KSC,LC-39A","Starlink9 v1.0 (57 Satellites),[524]SXRS-1 (BlackSky Global 7 and 8)","14,932 kg",LEO,SpaceXSpaceflight Industries(BlackSky),Success,F9 B5,Success,7 August 2020,05:12
91,"CCAFS,SLC-40","Starlink10 v1.0 (58 satellites)SkySat-19, -20, -21","~15,440 kg",LEO,SpaceXPlanet Labs,Success,F9 B5B1049.6544,Success,18 August 2020,14:31
92,"CCAFS,SLC-40",SAOCOM 1B[556]GNOMES 1[556]Tyvak-0172[557],"3,130 kg",SSO,CONAEPlanetIQTyvak,Success,F9 B5,Success,30 August 2020,23:18
93,"KSC,LC-39A",Starlink11 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,F9 B5B1060.2563,Success,3 September 2020,12:46:14
94,"KSC,LC-39A",Starlink12 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,F9 B5B1058.3565,Success,6 October 2020,11:29:34
95,"KSC,LC-39A",Starlink13 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,F9 B5B1051.6568,Success,18 October 2020,12:25:57
96,"CCAFS,SLC-40",Starlink14 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,F9 B5,Success,24 October 2020,15:31:34
97,"CCAFS,SLC-40",GPS III-04(Sacagawea)[541][573],"4,311 kg",MEO,USSF,Success,F9 B5,Success,5 November 2020,23:24:23
98,"KSC,LC-39A",Crew-1(Crew Dragon C207.1Resilience),"~12,500 kg",LEO(ISS),NASA(CCP)[497],Success,F9 B5[,Success,16 November 2020,00:27
99,"VAFB,SLC-4E",Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA/NOAA/ESA/EUMETSAT,Success,F9 B5,Success,21 November 2020,17:17:08
100,"CCAFS,SLC-40",Starlink15 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,F9 B5 ♺[,Success,25 November 2020,02:13
101,"KSC,LC-39A",SpaceX CRS-21(Dragon C208.1),"2,972 kg",LEO(ISS),NASA(CRS),Success,F9 B5 ♺[,Success,6 December 2020,16:17:08
102,"CCSFS,SLC-40[597]",SXM-7,"7,000 kg",GTO,Sirius XM,Success,F9 B5 ♺,Success,13 December 2020,17:30:00
103,"KSC,LC-39A",NROL-108,C,LEO,NRO,Success,F9 B5 ♺,Success,19 December 2020,14:00:00
104,"CCSFS,SLC-40",Türksat 5A[605],"3,500 kg",GTO,Türksat,Success,F9 B5,Success,8 January 2021,02:15
105,"KSC,LC-39A",Starlink16 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,F9 B5B1051.8609,Success,20 January 2021,13:02
106,"CCSFS,SLC-40",Transporter-1(143 smallsat rideshare),"~5,000 kg",SSO,Various,Success,F9 B5B1058.5613,Success,24 January 2021,15:00
107,"CCSFS,SLC-40",Starlink18 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,F9 B5 ♺[,Success,4 February 2021,06:19
108,"CCSFS,SLC-40",Starlink19 v1.0 (60 satellites)[627],"15,600 kg",LEO,SpaceX,Success,F9 B5 ♺,Failure,16 February 2021,03:59:37
109,"KSC,LC-39A",Starlink17 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,F9 B5 ♺[,Success,4 March 2021,08:24
110,"CCSFS,SLC-40",Starlink20 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,F9 B5 ♺[,Success,11 March 2021,08:13:29
111,"KSC,LC-39A",Starlink21 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,F9 B5 ♺,Success,14 March 2021,10:01
112,"CCSFS,SLC-40",Starlink22 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,F9 B5B1060.6643,Success,24 March 2021,08:28
113,"CCSFS,SLC-40",Starlink23 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,F9 B5 ♺,Success,7 April 2021,16:34
114,"KSC,LC-39A",Crew-2(Crew Dragon C206.2Endeavour♺),"~13,000 kg",LEO(ISS),NASA(CTS)[497],Success,F9 B5B1061.2647,Success,23 April 2021,9:49
115,"CCSFS,SLC-40",Starlink24 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,F9 B5B1060.7652,Success,29 April 2021,03:44
116,"KSC,LC-39A",Starlink25 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,F9 B5B1049.9655,Success,4 May 2021,19:01
117,"CCSFS,SLC-40",Starlink27 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,F9 B5B1051.10657,Success,9 May 2021,06:42
118,"KSC,LC-39A[661]",Starlink26 v1.0 (52 Satellites)Capella-6 &Tyvak-0130[662],"~14,000 kg",LEO,SpaceXCapella SpaceandTyvak,Success,F9 B5B1058.8660,Success,15 May 2021,22:56
119,"CCSFS,SLC-40[665]",Starlink28 v1.0 (60 Satellites)[665],"15,600 kg",LEO,SpaceX,Success,F9 B5B1063.2665,Success,26 May 2021,18:59
120,"KSC,LC-39A",SpaceX CRS-22(Dragon C209.1),"3,328 kg",LEO(ISS),NASA(CRS),Success,F9 B5B1067.1668,Success,3 June 2021,17:29
121,"CCSFS,SLC-40",SXM-8[674],"7,000 kg",GTO,Sirius XM,Success,F9 B5,Success,6 June 2021,04:26
